KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001104001,T001104002,T001104003,T001104004,T001104005,T001104006,T001104007,T001104008,T001104009,T001104010,T001104011,T001104012,T001104013
,,,,,,,総数,Ａ管理的職業従事者,Ｂ専門的・技術的職業従事者,Ｃ事務従事者,Ｄ販売従事者,Ｅサービス職業従事者,Ｆ保安職業従事者,Ｇ農林漁業従事者,Ｈ生産工程従事者,Ｉ輸送・機械運転従事者,Ｊ建設・採掘従事者,Ｋ運搬・清掃・包装等従事者,Ｌ分類不能の職業
14104054005,4,横浜市中区,常盤町五丁目,2,54006,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104054006,4,横浜市中区,常盤町六丁目,1,,054004;054005,13,-,3,2,2,3,-,1,-,-,-,2,-
141040600,3,横浜市中区,尾上町,0,,,123,11,42,41,17,5,1,-,4,-,-,2,-
14104060001,4,横浜市中区,尾上町一丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104060002,4,横浜市中区,尾上町二丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104060003,4,横浜市中区,尾上町三丁目,0,,,6,-,3,1,1,-,1,-,-,-,-,-,-
14104060004,4,横浜市中区,尾上町四丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104060005,4,横浜市中区,尾上町五丁目,1,,60006,117,11,39,40,16,5,-,-,4,-,-,2,-
14104060006,4,横浜市中区,尾上町六丁目,2,60005,,X,X,X,X,X,X,X,X,X,X,X,X,X
141040660,3,横浜市中区,真砂町,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104066001,4,横浜市中区,真砂町一丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104066002,4,横浜市中区,真砂町二丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104066003,4,横浜市中区,真砂町三丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104066004,4,横浜市中区,真砂町四丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
141040700,3,横浜市中区,港町,0,,,20,-,4,9,1,2,1,-,1,-,2,-,-
14104070001,4,横浜市中区,港町一丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104070002,4,横浜市中区,港町二丁目,2,123001,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104070003,4,横浜市中区,港町三丁目,2,123001,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104070004,4,横浜市中区,港町四丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104070005,4,横浜市中区,港町五丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104070006,4,横浜市中区,港町六丁目,0,,,20,-,4,9,1,2,1,-,1,-,2,-,-
141040760,2,横浜市中区,山下町,0,,,4393,213,1149,1247,610,520,65,2,169,72,54,134,158
